title,characters,url,Production code,Season №,Episode №,Airdate,U.S. premiere time (ET),Copyright year,U.S. viewers (millions),Running time,Sister episode(s),Writer(s),Storyboard Artist(s),Storyboard,Animation,Creative,Next,Previous,Guest(s),Supervising,Line Producer,Main,Supervising Producer(s),Technical,Animation Supervisor
The Legend of Boo-Kini Bottom,"['Mermaid Man', 'Barnacle Boy', 'SpongeBob SquarePants', 'Patrick Star', 'Ghost Patrick', 'Squidward Tentacles', 'Ghost Squidward', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Karen Plankton', 'Sandy Cheeks', 'Mrs. Puff', 'Larry the Lobster', 'Flying Dutchman', 'Acorn monster', 'Gary the Snail', 'Alternate-Universe Patrick', 'Margaret SquarePants', ""Flying Dutchman's ghost pirates"", 'Patchy the Pirate']",https://spongebob.fandom.com/wiki/The_Legend_of_Boo-Kini_Bottom,"['325-1109', '325-1110']",11,220,"October 13, 2017",7:00 pm,2017,2.21,"22 minutes, 2 seconds",,Doug Lawrence,"['Brian Morante', 'Sally Cruikshank']",,Tom Yasumi,,"""No Pictures Please""","""Larry the Floor Manager""",Brian Doyle-Murray as Flying Dutchman,Adam Paloian,,"['Mark Caballero', 'Seamus Walsh']","['Marc Ceccarelli', 'Vincent Waller']",,Christopher Finnegan
No Pictures Please,"['French Narrator', 'SpongeBob SquarePants', 'Patrick Star', 'Gary the Snail', 'Squidward Tentacles', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Sandy Cheeks', ""Ol' Ribeye"", 'Rube Goldfish', 'Tour guide', 'Incidentals', 'Incidental 187', 'Incidental 82', 'Old Man Walker', 'Incidental 106', 'Incidental 42', 'Incidental 41', 'Incidental 60', 'Incidental 67', 'Fred', 'Incidental 69', 'Incidental 48', 'Frank', 'Incidental 49', 'Incidental 36', 'Incidental 160', 'Incidental 94', 'Incidental 86', 'John', 'Mary', 'Incidental 64', 'Incidental 104', 'Lenny', 'Sandals', 'Incidental 68', 'Incidental 153', 'Incidental 119', 'Incidental 103', 'Incidental 13', 'Billy', 'Incidental 63', 'Incidental 39', 'Harris', 'Incidental 24', 'Incidental 157', 'Incidental 81', 'Incidental 40', 'Incidental 14', 'Incidental 31', 'Carol', 'Incidental 158', 'Incidental 92', 'Incidental 91', 'Incidental 3', 'Incidental 2', 'Incidental 30', 'Incidental 115', 'Incidental 23', 'Incidental 107', 'Incidental 18', 'Incidental 8', 'Incidental 16', 'Incidental 7', 'Incidental 21', 'Incidental 27', 'Incidental 20', 'Incidental 11', 'Incidental 6', 'Incidental 102', 'Incidental 152', 'Incidental 151', 'Incidental 150', 'Incidental 9', 'Incidental 28', 'Incidental 29', 'Incidental 90', 'Incidental 93', 'Incidental 154', 'Incidental 12', 'Incidental 37B', 'Incidental 37A', 'Incidental 25', 'Incidental 15', 'Incidental 47', 'Steven', 'Incidental 118', 'Incidental 118B', 'Incidental 46', 'Incidental 45', 'Popeye fish', 'Old Man Jenkins', 'Guy', 'Little girls']",https://spongebob.fandom.com/wiki/No_Pictures_Please,325-1117,11,221a,"November 6, 2017",7:00 pm,2017,1.84,"11 minutes, 1 second","""Stuck on the Roof""",Doug Lawrence,Fred Osmond,,Tom Yasumi,,"""Stuck on the Roof""","""The Legend of Boo-Kini Bottom""",,Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Stuck on the Roof,"['SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Eugene H. Krabs', 'Sandy Cheeks', 'Bubble Bass', 'Octavius Rex', 'Incidentals', 'Dodo', 'Incidental 9', 'Incidental 16', 'Incidental 45', 'Incidental 37A', 'Incidental 106', 'Incidental 65', 'Incidental 27', 'Incidental 107', 'Carol', 'Incidental 36', 'Incidental 49', 'John', 'Incidental 30', 'Incidental 2', 'Incidental 60', 'Incidental 18', 'Incidental 21', 'Incidental 67', 'Scooter', 'Incidental 48', 'Incidental 42', 'Incidental 69', 'Incidental 64', 'Incidental 153', 'Incidental 8', 'Incidental 6', 'Incidental 10', 'Incidental 152', 'Incidental 105', 'Incidental 68', 'Fred', 'Incidental 151', 'Incidental 14', 'Charlie', 'Incidental 40', 'Incidental 41', 'Incidental 30A', 'Unknown ""Navy"" 1', 'Jellyfish']",https://spongebob.fandom.com/wiki/Stuck_on_the_Roof,325-1108,11,221b,"November 6, 2017",7:15 pm,2017,1.84,"10 minutes, 57 seconds","""No Pictures Please""",Andrew Goodman,Kelly Armstrong,,Bob Jaques,,"""Krabby Patty Creature Feature""","""No Pictures Please""",,Sherm Cohen,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Krabby Patty Creature Feature,"['SpongeBob SquarePants', 'Eugene H. Krabs', 'Sandy Cheeks', 'Patrick Star', 'Bubble Bass', 'Sheldon J. Plankton', 'Karen Plankton', 'Squidward Tentacles', 'Mrs. Puff', 'Perch Perkins', 'French Narrator', 'Krabby Patty creatures', 'Hipster fish', 'Incidentals', 'Judy', 'Incidental 23', 'Incidental 41', 'Incidental 14', 'Fred', 'Incidental 37A', 'Carol', 'Incidental 2', 'Incidental 64', 'Incidental 30', 'Incidental 18', 'Incidental 13', 'Incidental 82', 'Incidental 42', 'Incidental 154', 'Incidental 118', 'Incidental 16', 'Incidental 103', 'Incidental 104', 'Incidental 102', 'Incidental 160', 'Old Man Walker', 'Incidental 115', 'Incidental 48', 'Incidental 63', 'Don the Whale', 'Incidental 10', 'Incidental 67', 'Incidental 49', 'Incidental 46', 'Incidental 153', '""PM"" incidentals', 'Incidental PM1', 'Incidental PM2', 'Incidental PM3', 'Incidental PM4', 'Incidental PM5', 'Incidental PM6', 'Incidental PM7', 'Incidental PM8', 'Incidental PM9', 'Incidental PM10', 'Incidental PM11', 'Incidental PM12', 'Incidental PM13', 'Incidental PM14', 'Incidental PM15', 'Incidental PM16', 'Incidental PM17', 'Incidental PM18', 'Incidental PM19', 'Incidental PM20', 'Incidental PM21', 'Incidental PM22', 'Incidental PM23', 'Incidental PM24', 'Incidental PM25', 'Incidental PM26', 'Incidental PM27', 'Incidental PM28', 'Incidental PM29']",https://spongebob.fandom.com/wiki/Krabby_Patty_Creature_Feature,325-1119,11,222a,"October 21, 2017",10:15 am,2017,1.99,"10 minutes, 56 seconds","""Teacher's Pests""","['Chris Allison', 'Ryan Kramer', 'Kaz']","['Chris Allison', 'Ryan Kramer']",,Alan Smart,,"""Teacher's Pests""","""Stuck on the Roof""",,Adam Paloian,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Teacher's Pests,"['SpongeBob SquarePants', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Mrs. Puff', 'Incidentals', 'Judge 3', 'Incidental 49', 'Incidental 107', 'Incidental 64', 'Incidental 6', 'Incidental 37B', 'Incidental 106', 'Incidental 116', 'Doctor 2', 'French Narrator', 'Highway Speed Patrol']",https://spongebob.fandom.com/wiki/Teacher%27s_Pests,325-1118,11,222b,"October 21, 2017",10:00 am,2017,1.99,"10 minutes, 46 seconds","""Krabby Patty Creature Feature""",Ben Gruber,John Trabbic,,Tom Yasumi,,"""Sanitation Insanity""","""Krabby Patty Creature Feature""",,Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Sanitation Insanity,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Eugene H. Krabs', 'Patrick Star', 'Carl', 'Trash inspectors', 'Doll', 'Mrs. Puff', 'Incidentals', 'Incidental 7', 'Incidental 41', 'Incidental 41Baby', 'Incidental 42', 'Salesman', 'Monroe', 'Incidental 118C']",https://spongebob.fandom.com/wiki/Sanitation_Insanity,325-1111,11,223a,"April 5, 2018",7:00 pm,2017,1.35,"11 minutes, 2 seconds","""Bunny Hunt""",Ben Gruber,Brian Morante,,Alan Smart,,"""Bunny Hunt""","""Teacher's Pests""",,Sherm Cohen,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Bunny Hunt,"['SpongeBob SquarePants', 'Squidward Tentacles', 'Gary the Snail', 'Patrick Star', ""Squidward Tentacles' house"", 'Bunny Wunny', 'Female sea bunny', 'Animal control fish', 'Mermaid Man', 'Barnacle Boy', 'Man Ray', 'Dirty Bubble', 'Jumbo Shrimp', 'Clam Head Candy Cad', 'Margaret SquarePants', 'Harold SquarePants']",https://spongebob.fandom.com/wiki/Bunny_Hunt,325-1114,11,223b,"March 30, 2018",6:30 pm,2017,1.44,11 minutes,"""Sanitation Insanity""",Doug Lawrence,Fred Osmond,,Bob Jaques,,"""Squid Noir""","""Sanitation Insanity""",,Adam Paloian,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Squid Noir,"['Squidward Tentacles', 'SpongeBob SquarePants', 'Patrick Star', 'Eugene H. Krabs', 'Bubble Bass', 'Flats the Flounder', 'Suburban dad doll', 'Incidentals', 'Incidental 41', 'Incidental 40', 'Incidental 45', 'Incidental 64', 'Tom', 'Incidental 16', 'Incidental 14', 'Mermaid Man', 'Barnacle Boy', 'The Moth', 'Jumbo Shrimp', 'Pyrite Panderer', 'Near Mint Comic Books cashier', 'Jellyfish', 'Jazz Eel', 'Grandma SquarePants']",https://spongebob.fandom.com/wiki/Squid_Noir,325-1122,11,224a,"November 10, 2017",7:00 pm,2017,1.86,"10 minutes, 58 seconds","""Scavenger Pants""",Andrew Goodman,John Trabbic,,"['Alan Smart', 'Tom Yasumi']",,"""Scavenger Pants""","""Bunny Hunt""",,Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Scavenger Pants,"['SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Um Tentacles', 'French Narrator', 'Mrs. Tentacles', 'Jellyfish', 'Gary the Snail', 'Loch Ness Monster', 'Sand witch', 'Desert sandwich', 'Boxing Begonia', 'Camera man', 'Shelley', 'Incidentals', 'Incidental 42', 'Incidental 153', 'Charlie', 'Incidental 49', 'Incidental 68', 'Incidental 27']",https://spongebob.fandom.com/wiki/Scavenger_Pants,325-1116,11,224b,"November 9, 2017",7:00 pm,2017,,11 minutes,"""Squid Noir""",Luke Brookshier,Brian Morante,,Bob Jaques,,"""Cuddle E. Hugs""","""Squid Noir""",,Sherm Cohen,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Cuddle E. Hugs,"['SpongeBob SquarePants', 'Cuddle E. Hugs', 'Patrick Star', 'Squidward Tentacles', 'Shelley', 'Sandy Cheeks', 'Eugene H. Krabs', 'Gary the Snail', 'Larry the Lobster', 'Tough guy fish', 'Incidentals', 'Incidental 14', 'Incidental 8', 'Incidental 7', 'Tom', 'Incidental 153', 'Incidental 48', 'Incidental 47', 'Lenny', 'Incidental 37A', 'Incidental 36', 'Fred', 'Incidental 41', 'Billy', 'Incidental 13', 'Incidental 27', 'Scooter', 'Incidental 16', 'Incidental 17', 'Incidental 49', 'Incidental 69', 'Incidental 105', 'Incidental 106', 'Dale', 'Incidental 107', 'Incidental 60', 'Incidental 2', 'Incidental 37B', 'Teen 5', 'Incidental 45', 'Steven', 'John', 'Incidental 85', 'Incidental 92', 'Sandals', 'Incidental 18', 'Incidental 40', 'Incidental 63', 'Incidental 94', 'Incidental 116', 'Mabel', 'Incidental 152', 'Incidental 150', 'Incidental 64', 'Incidental 42', 'Incidental 31', 'Incidental 155', 'Teen 7', 'Sea urchin']",https://spongebob.fandom.com/wiki/Cuddle_E._Hugs,325-1124,11,225a,"November 8, 2017",7:00 pm,2017,1.65,"10 minutes, 59 seconds","""Pat the Horse""",Ben Gruber,Kelly Armstrong,,"['Alan Smart', 'Tom Yasumi']",,"""Pat the Horse""","""Scavenger Pants""",Jeff Garlin as Cuddle E. Hugs,Adam Paloian,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Pat the Horse,"['SpongeBob SquarePants', 'Patrick Star', 'Gary the Snail', 'Squidward Tentacles', 'Eugene H. Krabs', 'Sandy Cheeks', 'Angler fish', 'Incidentals', 'Incidental 154', 'Incidental 187', 'Incidental 46', 'Incidental 160', 'Dale', 'Incidental 169', 'Incidental 91KID', 'Incidental 73KID', 'Incidental 67KID', 'Incidental 48KID', 'Incidental 161', 'Incidental 103', 'Incidental 162', 'Incidental 102', 'Incidental 152', 'Incidental 151', 'Incidental 118', 'Shelley', 'Cafeteria lady 1', 'Worker fish', 'Criminal']",https://spongebob.fandom.com/wiki/Pat_the_Horse,325-1129,11,225b,"December 2, 2017",10:15 am,2017,1.83,"11 minutes, 1 second","""Cuddle E. Hugs""",Kaz,Fred Osmond,,Bob Jaques,,"""Chatterbox Gary""","""Cuddle E. Hugs""",,Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Chatterbox Gary,"['SpongeBob SquarePants', 'Gary the Snail', ""Gary's collar"", 'Squidward Tentacles', 'Sandy Cheeks', 'Patrick Star', 'Sea bear', 'Master Marty', 'Casting director', 'Incidentals', 'Fred', 'Incidental 10', 'Carol', 'Incidental 37A', 'Incidental 40', 'Incidental 41', 'Incidental 64', 'Incidental 60', 'Incidental 82', 'Incidental 106', 'Incidental 186']",https://spongebob.fandom.com/wiki/Chatterbox_Gary,325-1123,11,226a,"February 12, 2018",6:00 pm,2018,1.70,"10 minutes, 52 seconds","""Don't Feed the Clowns""",Luke Brookshier,John Trabbic,,Tom Yasumi,,"""Don't Feed the Clowns""","""Pat the Horse""",Keith David as Gary's collar,Sherm Cohen,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Don't Feed the Clowns,"['SpongeBob SquarePants', 'Patrick Star', 'Jellyfish', 'Elephant snail', 'Incidentals', 'Clowns', 'Incidental C1', 'Frank', 'Incidental 106', 'Dale', 'Incidental 30', 'Incidental 92', 'Old Man Walker', 'Carol', 'Incidental 68', 'Incidental 20', 'Incidental 16', 'Incidental 107', 'Harris', 'Incidental 63', 'Incidental 18', 'Sandals', 'Incidental 45', 'Tom', 'Incidental 31', 'Incidental 13', 'Incidental 69', 'Incidental 158', 'Incidental 67', 'Fred', 'Incidental 2', 'Incidental 41', 'Incidental 47', 'Incidental 14', 'Incidental 3', 'Incidental 48', 'Incidental 103', 'Steven', 'Incidental 8', 'Incidental 42', 'Incidental 152', 'Incidental 154', 'Lenny', 'John', 'Incidental 25', 'Joe', 'Scooter', 'Incidental 157', 'Incidental FG3', 'Incidental 40', 'Incidental 49', 'Incidental 60', 'Incidental 119', 'Fire fish', 'Incidental 27', 'Incidental 36', 'Incidental 64', 'Ringmaster', ""Ringmaster's assistant"", 'Mrs. Puff', 'Mr. Puff', 'Vendor', 'Boss', 'Mr. Crustacean', 'Flats the Flounder']",https://spongebob.fandom.com/wiki/Don%27t_Feed_the_Clowns,325-1125,11,226b,"February 12, 2018",6:15 pm,2018,1.70,"11 minutes, 1 second","""Chatterbox Gary""",Doug Lawrence,Brian Morante,,Alan Smart,,"""Drive Happy""","""Chatterbox Gary""",,Adam Paloian,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Drive Happy,"['SpongeBob SquarePants', 'Coupe', 'Mrs. Puff', 'Patrick Star', 'Squidward Tentacles', 'Gary the Snail', 'Incidentals', 'Incidental 49A', 'Billy', 'Incidental 36', 'Fred', 'Incidental 37B', 'Incidental 105', 'Lenny', 'Incidental 69', 'Incidental 41', 'Incidental F4', 'Incidental F6', 'Incidental F9', 'Teen 5', 'Boat salesman shark', 'Mermaid Man']",https://spongebob.fandom.com/wiki/Drive_Happy,325-1136,11,227a,"February 13, 2018",6:00 pm,2018,1.63,"10 minutes, 56 seconds","""Old Man Patrick""",Kaz,Brian Morante,,Alan Smart,,"""Old Man Patrick""","""Don't Feed the Clowns""",Brian George as Coupe,Adam Paloian,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Old Man Patrick,"['SpongeBob SquarePants', 'Patrick Star', 'Larry the Lobster', 'Marco', '[1]', 'Fortune teller', 'Clarabelle', 'Mortimer', 'Incidentals', '""Kids roughs Adam"" incidentals', 'Chubby customer', 'Twin sisters', 'Incidental 16', 'Incidental 30', 'Incidental 34A', 'Incidental 41', 'Incidental 45', 'Incidental 46', 'Incidental 48', 'Incidental 49', 'Incidental 69', 'Incidental 97', 'Incidental 100', 'Incidental 104', 'Incidental 105', 'Incidental 107', 'Dale', 'Incidental 111', 'Incidental 151', 'Incidental K2', 'Incidental K4', 'Little girl fish', 'Incidental 69', 'Incidental 151', 'Incidental 48', 'Incidental 16', 'Incidental 30A', 'Musician 3', 'Incidental 95', 'Mary', 'John', 'Incidental 105', 'Incidental 174', '""Senior"" incidentals', 'Senior 2', 'Senior 5', 'Senior 6', 'Senior 7', 'Unknown ""Senior"" 1', 'Unknown ""Senior"" 2', 'Unknown ""Senior"" 3', 'Unknown ""Senior"" 4', 'Unknown ""Senior"" 5', '""BunnyBunnsKids"" incidentals', 'BunnyBunnsKids 1', 'Elwood', 'BunnyBunnsKids 3', 'BunnyBunnsKids 4', 'BunnyBunnsKids 6', 'BunnyBunnsKids 7', 'BunnyBunnsKids 10', 'BunnyBunnsKids 11', 'BunnyBunnsKids 13', 'BunnyBunnsKids 14', 'BunnyBunnsKids 15', 'BunnyBunnsKids 16', 'BunnyBunnsKids 17', 'BunnyBunnsKids 18', 'BunnyBunnsKids 19', 'BunnyBunnsKids 20', 'BunnyBunnsKids 22', 'Joshua', 'Incidental 111', 'Unknown ""BunnyBunnsKids"" 1', 'Unknown ""BunnyBunnsKids"" 2', 'Unknown ""BunnyBunnsKids"" 3', 'Unknown ""BunnyBunnsKids"" 4']",https://spongebob.fandom.com/wiki/Old_Man_Patrick,325-1132,11,227b,"February 14, 2018",6:00 pm,2018,1.63,"10 minutes, 58 seconds","""Drive Happy""","['Kaz', 'Dave Cunningham (story)']",Fred Osmond,,Bob Jaques,,"""Fun-Sized Friends""","""Drive Happy""",,Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Fun-Sized Friends,"['SpongeBob SquarePants', 'Tiny SpongeBob', 'Patrick Star', 'Tiny Patrick', 'Squidward Tentacles', 'Sheldon J. Plankton', 'Gary the Snail', 'Beary', 'Shelley', 'Tiny snail']",https://spongebob.fandom.com/wiki/Fun-Sized_Friends,325-1130,11,228a,"February 15, 2018",6:00 pm,2018,1.97,"10 minutes, 59 seconds","""Grandmum's the Word""",Andrew Goodman,Kelly Armstrong,,Tom Yasumi,,"""Grandmum's the Word""","""Old Man Patrick""",,Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Grandmum's the Word,"['SpongeBob SquarePants', 'Eugene H. Krabs', 'Squidward Tentacles', 'Sheldon J. Plankton', 'Karen Plankton', 'Granny Plankton', 'French Narrator', 'Grandma Krabs', 'Sandy Cheeks', 'Sandy Cheeks', 'Patrick Star', 'Incidental 116', 'Fred', 'Incidental 41', 'Harris', 'Incidental 37B', 'Incidental 31', 'Incidental 64', 'Incidental 2', 'Old Man Walker', 'Charlie', 'Incidental 85', 'Incidental 155', 'Incidental 8', 'Incidental 3', 'Scooter', 'Incidental 46', 'Incidental 12', 'Incidental 49', 'Incidental 154', 'Incidental 37A', 'Incidental 36', 'Carol', 'Incidental 47', 'Incidental 21', 'Incidental 14', 'Incidental 13', 'Incidental 45', 'Sandals', 'Incidental 63', 'Incidental 104', 'John', 'Incidental 48', 'Incidental 27', 'Incidental 118', 'Incidental 40', 'Incidental 42', 'Incidental 105', 'Incidental 93', 'Incidental 68', 'Incidental 67', 'Incidental 6', 'Incidental 30', 'Incidental 115', 'Incidental 107']",https://spongebob.fandom.com/wiki/Grandmum%27s_the_Word,325-1131,11,228b,"February 16, 2018",6:00 pm,2018,1.45,"10 minutes, 54 seconds","""Fun-Sized Friends""",Doug Lawrence,John Trabbic,,Tom Yasumi,,"""Doodle Dimension""","""Fun-Sized Friends""",Laraine Newman as Grandma Plankton,Sherm Cohen,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Doodle Dimension,"['SpongeBob SquarePants', 'Patrick Star', 'Sandy Cheeks', 'Doodle Sandy', 'DoodleBob', 'Squidward Tentacles', 'Doodle Squidward', 'Eugene H. Krabs', 'Doodle Mr. Krabs', 'Gary the Snail', 'Doodle Gary', 'Squeaky', 'Doodle Squeaky', 'Old coot', 'Vincent Waller', 'Mini DoodleBobs']",https://spongebob.fandom.com/wiki/Doodle_Dimension,325-1133,11,229a,"March 9, 2018",6:30 pm,2018,1.30,"10 minutes, 59 seconds","""Moving Bubble Bass""",Luke Brookshier,John Trabbic,,Bob Jaques,,"""Moving Bubble Bass""","""Grandmum's the Word""",,Sherm Cohen,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Moving Bubble Bass,"['SpongeBob SquarePants', 'Patrick Star', 'Bill Fagerbakke', 'Eugene H. Krabs', 'Bubble Bass', 'Krabby Patty', 'Incidentals', 'Incidental 160', 'Incidental 152', 'Incidental 153', 'Incidental 93', 'Incidental 86', '""Baby"" incidentals', 'Baby 2', '""Baby"" Incidental 7', '""Baby"" Incidental 47', 'Mama Bass', 'Lady Upturn', 'Fruit man', 'Grandma Bass']",https://spongebob.fandom.com/wiki/Moving_Bubble_Bass,325-1141,11,229b,"March 16, 2018",6:30 pm,2018,1.35,11 minutes,"""Doodle Dimension""",Doug Lawrence,Fred Osmond,,"['Alan Smart', 'Tom Yasumi']",,"""High Sea Diving""","""Doodle Dimension""",,Adam Paloian,,,"['Marc Ceccarelli', 'Vincent Waller']",,
High Sea Diving,"['Perch Perkins', 'SpongeBob SquarePants', 'Gary the Snail', 'Eugene H. Krabs', 'Incidentals', 'Fred', 'Incidental 2', 'Incidental 3', 'Steven', 'John', 'Tom', 'Incidental 7', 'Incidental 8', 'Incidental 9', 'Incidental 10', 'Incidental 11', 'Priscilla', 'Incidental 13', 'Incidental 14', 'Incidental 15', 'Incidental 16', 'Incidental 17', 'Incidental 18', 'Incidental 20', 'Incidental 21', 'Carol', 'Incidental 23', 'Incidental 27', 'Incidental 28', 'Incidental 30', 'Incidental 31', 'Harold', 'Tuck Tucker', 'Scooter', 'Scooter', 'Incidental 39', 'Harold', 'Incidental 41', 'Incidental 42', 'Judy', 'Incidental 46', 'Sadie', 'Incidental 48', 'Incidental 49', 'Incidental 49A', 'Incidental 60', 'Incidental 63', 'Incidental 64', 'Billy', 'Incidental 67', 'Incidental 68', 'Incidental 69', 'Harris', 'Incidental 81', 'Incidental 82', 'Old Man Walker', 'Mary', 'Incidental 92', 'Incidental 93', 'Victoria Ellen', 'Incidental 102', 'Incidental 103', 'Incidental 104', 'Frank', 'Incidental 106', 'Steve', 'Dale', 'Lenny', 'Incidental 115', 'Incidental 150', 'Incidental 152', 'Incidental 153', 'Frank', 'Sandals', 'Incidental 172', 'Incidental 175', 'Incidental 176', 'Lloyd', 'Incidental 178', 'Incidental 179', 'Incidental 180', 'Incidental 188', 'No #', '""Teen"" incidentals', 'Teen 15', 'Scout 3', 'Scout 3', 'Scout', 'Scout', 'Patrick Star', 'Bubble Bass', 'Old Man Jenkins', 'Sandy Cheeks', 'Squidward Tentacles', 'Mother-in-law', 'King Neptune']",https://spongebob.fandom.com/wiki/High_Sea_Diving,325-1138,11,230a,"April 6, 2018",6:30 pm,2018,1.21,11 minutes,"""Bottle Burglars""",Kaz,Brian Morante,,Bob Jaques,,"""Bottle Burglars""","""Moving Bubble Bass""","['John Gegenhuber as Old Man Jenkins', ""John O'Hurley as King Neptune""]",Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Bottle Burglars,"['SpongeBob SquarePants', 'Patrick Star', 'Squidward Tentacles', 'Eugene H. Krabs', 'Sheldon J. Plankton', 'Karen Plankton', 'Spot', 'Bubble Bass', 'Electric eye', 'DoodleBob', 'Mermaid Man', 'Barnacle Boy']",https://spongebob.fandom.com/wiki/Bottle_Burglars,325-1135,11,230b,"April 13, 2018",6:30 pm,2018,1.23,"11 minutes, 1 second","""High Sea Diving""",Luke Brookshier,,John Trabbic,"['Alan Smart', 'Tom Yasumi']",,"""My Leg!""","""High Sea Diving""",,Sherm Cohen,,,"['Marc Ceccarelli', 'Vincent Waller']",,
My Leg!,"['SpongeBob SquarePants', 'Patrick Star', 'Bubble Bass', 'Jellyfish', 'Alaskan Bull Worm', 'Mrs. Puff', 'Tom', 'Sea urchin', 'Convict', 'Dr. Charley Horse', 'Nurse Daisy Bazooka', 'Incidentals', 'Fred', 'Incidental 24', 'Carol', 'Incidental 152', 'Incidental 69', 'Dodo', 'Incidental 150', 'Incidental 37B', 'Incidental 48', 'Incidental 151', 'Incidental 47', 'Mary', 'Incidental 8', 'Incidental 64', 'Sandals', 'Incidental 67', 'Incidental 92', 'Charlie', 'Doctor 13', 'Steven', 'Incidental 41', 'Incidental 31', 'Incidental 27', 'Incidental 42', 'Incidental 25', 'Joe', 'Incidental 116', 'Incidental 60', 'Incidental 37A', 'Girl scout', 'Dr. Kelpington', ""Dr. Kelpington's snail"", 'Conductor']",https://spongebob.fandom.com/wiki/My_Leg!,325-1143,11,231a,"May 8, 2018",7:00 pm,2018,1.24,11 minutes,"""Ink Lemonade""",Doug Lawrence,Fred Osmond,,"['Alan Smart', 'Tom Yasumi']",,"""Ink Lemonade""","""Bottle Burglars""",Kevin Michael Richardson as Nurse Daisy Bazooka,Adam Paloian,,,"['Marc Ceccarelli', 'Vincent Waller']",,
Ink Lemonade,"['SpongeBob SquarePants', 'Gary the Snail', 'Patrick Star', 'Mini Brain Patrick', ""Patrick's organs"", 'Squidward Tentacles', 'Puppet Squidward', 'Mildred', 'Incidentals', 'Incidental 69', 'Incidental 167', 'Incidental 68', 'Incidental 114', 'Incidental 22', 'Hot rod fish', 'Incidental 105', 'Incidental 46', 'Incidental 150', 'Incidental 37B', 'Old Man Walker', 'Incidental 11', 'Incidental 31', 'Incidental 14', 'Incidental 42', 'Incidental 27', 'Dale', 'Fred', 'Incidental 2', 'Incidental 104', 'Incidental 3', 'Incidental 4', 'Incidental 15', 'Incidental 45', 'Incidental 82', 'Incidental 30', 'Incidental 41', 'Incidental 48', 'Incidental 103', 'Incidental 24', 'Incidental 153', 'Incidental 64', 'Incidental 106', 'Incidental 60', 'Incidental 32', 'Incidental 73', 'Incidental 36', 'Incidental 107', 'Incidental 37A', 'Incidental 47', 'Incidental 63', 'Scooter', 'Incidental 65', 'Incidental 26', 'Incidental 155', 'Incidental 20', 'Incidental 16', 'Incidental 102', 'Incidental 152', 'Incidental 6', 'Incidental 118', 'Incidental 8', 'Incidental 67', 'Incidental 115', 'Incidental 92', 'Incidental 21', 'Incidental 13', 'Incidental 12', 'Incidental 18', 'Incidental 7', 'Incidental 49', 'Incidental 157', 'Charlie', 'Incidental 81', 'Incidental 34', 'Incidental 29', 'Incidental 87', 'John', 'Baby Prunes', 'Herb Star']",https://spongebob.fandom.com/wiki/Ink_Lemonade,325-1142,11,231b,"May 9, 2018",7:00 pm,2018,1.31,"10 minutes, 58 seconds","""My Leg!""",Kaz,Kelly Armstrong,,Bob Jaques,,"""Mustard O' Mine""","""My Leg!""","['Laraine Newman as', 'Incidental 167']",Dave Cunningham,,,"['Marc Ceccarelli', 'Vincent Waller']",,
